name,slug,value,date_of_information,ranking,region
"United States","united-states","16,116","2025",1,"North America"
"Brazil","brazil","5,297","2025",2,"South America"
"Australia","australia","2,257","2025",3,"Australia and Oceania"
"Mexico","mexico","1,580","2025",4,"North America"
"Canada","canada","1,459","2025",5,"North America"
"France","france","1,218","2025",6,"Europe"
"United Kingdom","united-kingdom","1,057","2025",7,"Europe"
"Russia","russia","905","2025",8,"Central Asia"
"Germany","germany","840","2025",9,"Europe"
"Argentina","argentina","764","2025",10,"South America"
"Colombia","colombia","661","2025",11,"South America"
"Italy","italy","655","2025",12,"Europe"
"South Africa","south-africa","573","2025",13,"Africa"
"Papua New Guinea","papua-new-guinea","569","2025",14,"East and Southeast Asia"
"Indonesia","indonesia","556","2025",15,"East and Southeast Asia"
"China","china","552","2025",16,"East and Southeast Asia"
"Venezuela","venezuela","509","2025",17,"South America"
"Chile","chile","379","2025",18,"South America"
"Kenya","kenya","368","2025",19,"Africa"
"Spain","spain","365","2025",20,"Europe"
"Poland","poland","318","2025",21,"Europe"
"Ecuador","ecuador","317","2025",22,"South America"
"India","india","315","2025",23,"South Asia"
"Japan","japan","280","2025",24,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","273","2025",25,"Africa"
"Namibia","namibia","259","2025",26,"Africa"
"Philippines","philippines","256","2025",27,"East and Southeast Asia"
"Czechia","czechia","252","2025",28,"Europe"
"New Zealand","new-zealand","206","2025",29,"Australia and Oceania"
"Sweden","sweden","206","2025",30,"Europe"
"Tanzania","tanzania","206","2025",31,"Africa"
"Bolivia","bolivia","201","2025",32,"South America"
"Iran","iran","177","2025",33,"Middle East"
"Peru","peru","174","2025",34,"South America"
"Ukraine","ukraine","152","2025",35,"Europe"
"Norway","norway","146","2025",36,"Europe"
"Zimbabwe","zimbabwe","144","2025",37,"Africa"
"Kazakhstan","kazakhstan","132","2025",38,"Central Asia"
"Costa Rica","costa-rica","132","2025",39,"Central America and the Caribbean"
"Honduras","honduras","129","2025",40,"Central America and the Caribbean"
"Portugal","portugal","128","2025",41,"Europe"
"Botswana","botswana","122","2025",42,"Africa"
"Cuba","cuba","120","2025",43,"Central America and the Caribbean"
"Zambia","zambia","120","2025",44,"Africa"
"Pakistan","pakistan","117","2025",45,"South Asia"
"Turkey (Turkiye)","turkey-turkiye","116","2025",46,"Middle East"
"Slovakia","slovakia","116","2025",47,"Europe"
"Hungary","hungary","109","2025",48,"Europe"
"Bulgaria","bulgaria","107","2025",49,"Europe"
"Angola","angola","107","2025",50,"Africa"
"Thailand","thailand","105","2025",51,"East and Southeast Asia"
"Romania","romania","103","2025",52,"Europe"
"Denmark","denmark","102","2025",53,"Europe"
"Ireland","ireland","100","2025",54,"Europe"
"Malaysia","malaysia","100","2025",55,"East and Southeast Asia"
"Finland","finland","98","2025",56,"Europe"
"Algeria","algeria","95","2025",57,"Africa"
"Madagascar","madagascar","93","2025",58,"Africa"
"Korea, South","korea-south","92","2025",59,"East and Southeast Asia"
"Mozambique","mozambique","92","2025",60,"Africa"
"Saudi Arabia","saudi-arabia","90","2025",61,"Middle East"
"South Sudan","south-sudan","89","2025",62,"Africa"
"Paraguay","paraguay","83","2025",63,"South America"
"Greece","greece","82","2025",64,"Europe"
"Iceland","iceland","82","2025",65,"Europe"
"Korea, North","korea-north","81","2025",66,"East and Southeast Asia"
"Panama","panama","77","2025",67,"Central America and the Caribbean"
"Libya","libya","75","2025",68,"Africa"
"Uzbekistan","uzbekistan","74","2025",69,"Central Asia"
"Burma","burma","74","2025",70,"East and Southeast Asia"
"Egypt","egypt","73","2025",71,"Africa"
"Iraq","iraq","73","2025",72,"Middle East"
"Afghanistan","afghanistan","68","2025",73,"South Asia"
"Switzerland","switzerland","66","2025",74,"Europe"
"Uruguay","uruguay","65","2025",75,"South America"
"Lithuania","lithuania","64","2025",76,"Europe"
"Austria","austria","62","2025",77,"Europe"
"Ethiopia","ethiopia","58","2025",78,"Africa"
"Guatemala","guatemala","58","2025",79,"Central America and the Caribbean"
"Taiwan","taiwan","57","2025",80,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","56","2025",81,"Africa"
"Guyana","guyana","55","2025",82,"South America"
