name,slug,%,date_of_information,ranking,region
"Nauru","nauru","47.7","2025",1,"Australia and Oceania"
"Burma","burma","42.2","2025",2,"East and Southeast Asia"
"Indonesia","indonesia","39","2025",3,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","38.9","2025",4,"East and Southeast Asia"
"Jordan","jordan","37.1","2025",5,"Middle East"
"Solomon Islands","solomon-islands","36.8","2025",6,"Australia and Oceania"
"Timor-Leste","timor-leste","36.1","2025",7,"East and Southeast Asia"
"Serbia","serbia","36","2025",8,"Europe"
"Kiribati","kiribati","35.4","2025",9,"Australia and Oceania"
"Lebanon","lebanon","34.1","2025",10,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","34","2025",11,"Europe"
"Bulgaria","bulgaria","33.1","2025",12,"Europe"
"Cyprus","cyprus","33.1","2025",13,"Europe"
"Andorra","andorra","33","2025",14,"Europe"
"Croatia","croatia","32.8","2025",15,"Europe"
"Tuvalu","tuvalu","32.4","2025",16,"Australia and Oceania"
"Montenegro","montenegro","31.6","2025",17,"Europe"
"Marshall Islands","marshall-islands","30.9","2025",18,"Australia and Oceania"
"Tonga","tonga","30.5","2025",19,"Australia and Oceania"
"Slovakia","slovakia","30.3","2025",20,"Europe"
"Turkey (Turkiye)","turkey-turkiye","30.1","2025",21,"Middle East"
"Bangladesh","bangladesh","29.7","2025",22,"South Asia"
"Mongolia","mongolia","28.9","2025",23,"East and Southeast Asia"
"France","france","28.9","2025",24,"Europe"
"Latvia","latvia","28.8","2025",25,"Europe"
"Moldova","moldova","28.7","2025",26,"Europe"
"Georgia","georgia","28.7","2025",27,"Central Asia"
"Hungary","hungary","28.5","2025",28,"Europe"
"Maldives","maldives","28","2025",29,"South Asia"
"Greece","greece","27.3","2025",30,"Europe"
"Fiji","fiji","26.8","2025",31,"Australia and Oceania"
"Czechia","czechia","26.8","2025",32,"Europe"
"Romania","romania","26.7","2025",33,"Europe"
"Lithuania","lithuania","26.6","2025",34,"Europe"
"Russia","russia","26.5","2025",35,"Central Asia"
"Belarus","belarus","26.4","2025",36,"Europe"
"Chile","chile","26.2","2025",37,"South America"
"Kyrgyzstan","kyrgyzstan","26","2025",38,"Central Asia"
"Egypt","egypt","25.8","2025",39,"Africa"
"China","china","24.5","2025",40,"East and Southeast Asia"
"Belgium","belgium","24.1","2025",41,"Europe"
"Laos","laos","24.1","2025",42,"East and Southeast Asia"
"Madagascar","madagascar","24.1","2025",43,"Africa"
"Cook Islands","cook-islands","24","2025",44,"Australia and Oceania"
"Spain","spain","23.9","2025",45,"Europe"
"Estonia","estonia","23.7","2025",46,"Europe"
"Nepal","nepal","22.9","2025",47,"South Asia"
"Lesotho","lesotho","22.8","2025",48,"Africa"
"Switzerland","switzerland","22.8","2025",49,"Europe"
"Kuwait","kuwait","22.4","2025",50,"Middle East"
"Malta","malta","22.1","2025",51,"Europe"
"United States","united-states","22.1","2025",52,"North America"
"Vietnam","vietnam","22","2025",53,"East and Southeast Asia"
"Argentina","argentina","21.9","2025",54,"South America"
"India","india","21.8","2025",55,"South Asia"
"Poland","poland","21.6","2025",56,"Europe"
"Armenia","armenia","21.5","2025",57,"Central Asia"
"Malaysia","malaysia","21.5","2025",58,"East and Southeast Asia"
"Albania","albania","21.4","2025",59,"Europe"
"Algeria","algeria","21.4","2025",60,"Africa"
"Luxembourg","luxembourg","21","2025",61,"Europe"
"Afghanistan","afghanistan","20.8","2025",62,"South Asia"
"Portugal","portugal","20.7","2025",63,"Europe"
"Seychelles","seychelles","20.5","2025",64,"Africa"
"Samoa","samoa","20.5","2025",65,"Australia and Oceania"
"Ukraine","ukraine","20.4","2025",66,"Europe"
"Yemen","yemen","20.2","2025",67,"Middle East"
"Kazakhstan","kazakhstan","20.1","2025",68,"Central Asia"
"South Africa","south-africa","20.1","2025",69,"Africa"
"Sweden","sweden","19.9","2025",70,"Europe"
"Italy","italy","19.8","2025",71,"Europe"
"Austria","austria","19.7","2025",72,"Europe"
"Mauritius","mauritius","19.6","2025",73,"Africa"
"Qatar","qatar","19.2","2025",74,"Middle East"
"Philippines","philippines","19.2","2025",75,"East and Southeast Asia"
"Tunisia","tunisia","19","2025",76,"Africa"
"Netherlands","netherlands","18.7","2025",77,"Europe"
"Israel","israel","18.6","2025",78,"Middle East"
"Iraq","iraq","18.6","2025",79,"Middle East"
"Bhutan","bhutan","18.5","2025",80,"South Asia"
"Azerbaijan","azerbaijan","18.4","2025",81,"Central Asia"
"Sri Lanka","sri-lanka","18.2","2025",82,"South Asia"
"Thailand","thailand","18.1","2025",83,"East and Southeast Asia"
"Uruguay","uruguay","18","2025",84,"South America"
"Finland","finland","18","2025",85,"Europe"
"Vanuatu","vanuatu","17.8","2020",86,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","17.6","2025",87,"Middle East"
"Korea, South","korea-south","17.4","2025",88,"East and Southeast Asia"
"Bahrain","bahrain","17.3","2025",89,"Middle East"
"Slovenia","slovenia","17.3","2025",90,"Europe"
"Germany","germany","17.2","2025",91,"Europe"
"Botswana","botswana","17.1","2025",92,"Africa"
"Brunei","brunei","17","2025",93,"East and Southeast Asia"
"Ireland","ireland","16.8","2025",94,"Europe"
"Cuba","cuba","16.7","2025",95,"Central America and the Caribbean"
"Palau","palau","16.3","2025",96,"Australia and Oceania"
"Singapore","singapore","16.2","2025",97,"East and Southeast Asia"
"Korea, North","korea-north","16","2025",98,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","15.8","2025",99,"Africa"
"Pakistan","pakistan","15.5","2025",100,"South Asia"
"Japan","japan","15.5","2025",101,"East and Southeast Asia"
"Uzbekistan","uzbekistan","15.4","2025",102,"Central Asia"
"Comoros","comoros","14.7","2025",103,"Africa"
"Cambodia","cambodia","14.5","2025",104,"East and Southeast Asia"
"Mozambique","mozambique","14.3","2020",105,"Africa"
"Denmark","denmark","14.3","2025",106,"Europe"
"Mexico","mexico","13.8","2025",107,"North America"
"Iran","iran","13.3","2025",108,"Middle East"
"Saint Lucia","saint-lucia","13.1","2025",109,"Central America and the Caribbean"
"Burkina Faso","burkina-faso","12.4","2025",110,"Africa"
"Morocco","morocco","12.3","2025",111,"Africa"
"Norway","norway","12","2025",112,"Europe"
"Honduras","honduras","11.9","2025",113,"Central America and the Caribbean"
"Namibia","namibia","11.8","2025",114,"Africa"
"Guatemala","guatemala","11.8","2025",115,"Central America and the Caribbean"
"Zambia","zambia","11.7","2025",116,"Africa"
"Oman","oman","11.6","2025",117,"Middle East"
"United Kingdom","united-kingdom","11.5","2025",118,"Europe"
"Australia","australia","11.4","2025",119,"Australia and Oceania"
"Rwanda","rwanda","11.4","2025",120,"Africa"
"Brazil","brazil","11.2","2025",121,"South America"
"Bolivia","bolivia","11","2025",122,"South America"
"Bahamas, The","bahamas-the","10.8","2025",123,"Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","10.7","2025",124,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","10.4","2025",125,"Africa"
"Canada","canada","10.1","2025",126,"North America"
"New Zealand","new-zealand","10","2025",127,"Australia and Oceania"
"Cabo Verde","cabo-verde","9.8","2025",128,"Africa"
"Sierra Leone","sierra-leone","9.8","2025",129,"Africa"
"Dominican Republic","dominican-republic","9.7","2025",130,"Central America and the Caribbean"
"Ecuador","ecuador","9.7","2025",131,"South America"
"Paraguay","paraguay","9.3","2025",132,"South America"
"Guyana","guyana","9.2","2025",133,"South America"
"Burundi","burundi","9.1","2025",134,"Africa"
"Jamaica","jamaica","9","2025",135,"Central America and the Caribbean"
"Kenya","kenya","8.6","2025",136,"Africa"
"Gambia, The","gambia-the","8.6","2025",137,"Africa"
"Eswatini","eswatini","8.5","2025",138,"Africa"
"Zimbabwe","zimbabwe","8.4","2025",139,"Africa"
"Mauritania","mauritania","8.3","2025",140,"Africa"
